知识点,题号,提问,单选题,多选题,判断题,是否给出解析
web应用中常见的数据库连接技术,117,web应用中常见的数据库连接技术,3,2,2,0
监听器的应用场景,118,监听器的应用场景,3,2,2,0
过滤器的应用场景,119,过滤器的应用场景,3,2,2,0
Cookie对象的用途,120,Cookie对象的用途,3,2,2,0
Session对象的用途,121,Session对象的用途,3,2,2,0
数据库分类,122,数据库的类型,3,2,2,0
关系型数据库基本概念,123,关系型数据库基本概念,3,2,2,0
sql语句基本语法结构,124,sql语句Select基本语法结构,2,1,1,0
sql语句基本语法结构,125,sql语句update基本语法结构,2,1,1,0
使用sql语句创建删除数据表的方法,126,使用sql语句创建删除数据表的方法,3,2,2,0
使用sql语句查询数据表的方法,127,使用sql语句查询数据表的方法,3,2,2,0
使用sql语句联合查询数据表的方法,128,使用sql语句联合查询数据表的方法,3,2,2,0
使用sql语句统计查询数据表的方法,129,使用sql语句统计查询数据表的方法,3,2,2,0
使用sql语句对数据表进行新增、查询、删除语句的方法,130,使用sql语句对数据表进行新增、查询、删除语句的方法,3,2,2,0
存储过程的基本概念,131,存储过程的基本概念,3,2,2,0
事务的基本概念,132,事务的基本概念,3,2,2,0
数据库备份、容灾策略的基本概念,133,数据库备份、容灾策略的基本概念,3,2,2,0
数据库范式的基本概念,134,数据库范式的基本概念,3,2,2,0
数据表索引的建立方法及作用,135,数据表索引的建立方法及作用,3,2,2,0
数据表设计基本数据类型,136,数据表设计基本数据类型,3,2,2,0
数据表主键、外键的概念及作用,137,数据表主键、外键的概念及作用,3,2,2,0
数据库视图的创建及其作用,138,数据库视图的创建及其作用,3,2,2,0
Socket通信的基本概念,139,Socket通信的基本概念,3,2,2,0
tcp/ip协议中路由寻址的过程,140,tcp/ip协议中路由寻址的过程,3,2,2,0
IP地址的组成,141,IP地址的组成,3,2,2,0
同步和异步的基本概念,142,同步和异步的基本概念,3,2,2,0
Socket通信连接过程,143,Socket通信连接过程,3,2,2,0
Socket通信断开过程,144,Socket通信断开过程,3,2,2,0
Socket通信异步处理,145,Socket通信异步处理,3,2,2,0
TCP/UDP的Socket套件字编程的异同,146,TCP/UDP的Socket套件字编程的异同,3,2,2,0
通信阻塞和非阻塞Socket通信开发方法,147,通信阻塞和非阻塞Socket通信开发方法,3,2,2,0
Socket通信异常处理,148,Socket通信异常处理,3,2,2,0
移动端应用程序分类,149,移动端应用程序分类,3,2,2,0
移动端应用程序常用开发工具及特点,150,移动端应用程序常用开发工具及特点,3,2,2,0
移动端应用程序常用开发语言及特点,151,移动端应用程序常用开发语言及特点,3,2,2,0
移动端应用程序前后端交互过程,152,移动端应用程序前后端交互过程,3,2,2,0
HTTP请求消息Request内容,153,HTTP请求消息Request内容,3,2,2,0
HTTP之响应消息Response的内容,154,HTTP之响应消息Response的内容类型,3,2,2,0
移动端应用程序架构模型,155,移动端应用程序架构模型,3,2,2,0
移动端应用程序组件和组件库,156,移动端应用程序组件和组件库,3,2,2,0
移动端应用程序开发调试方法,157,移动端应用程序开发调试方法,3,2,2,0
移动端应用程序数据存储,158,移动端应用程序数据存储,3,2,2,0
移动端应用程序文件操作,159,移动端应用程序文件操作,3,2,2,0
移动端应用程序开发兼容性测试,160,移动端应用程序开发兼容性测试,3,2,2,0
调试的概念及其作用,161,调试的概念及其作用,3,2,2,0
程序调试的步骤,162,程序调试的步骤,3,2,2,0